X,Y,Z,Name,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D
103.849264521174,1.33358025833851,0,kml_1142,16M0125,UNIHEALTH 24-HR CLINIC (TOA PAYOH),MC,"62031639","310178",A,"178","01","218",TOA PAYOH CENTRAL,,"CDMP,CHAS",29774.61661181,35086.05165652,7CFDB690F87F36FD,"20210926121846"
103.872613997797,1.36934726838417,0,kml_1143,"9401799",UNION MEDICAL CLINIC & SURGERY,MC,"62823357","550152",,"152","01","330",SERANGOON NORTH AVE 1,,"CDMP,CHAS,ISP",32373.10548878,39041.01505509,1D9DCE14F69B1065,"20210926121846"
103.837005089082,1.41770409901142,0,kml_1144,"9402525",UNITED HEALTH FAMILY CLINIC & SURGERY,MC,"62571182","760627",A,"627","01","63",YISHUN STREET 61,,"CDMP,CHAS",28410.25573678,44388.03292959,4079FD2EC4436679,"20210926121846"
103.858221510781,1.30621516431413,0,kml_1145,"9401808",UNITED MEDICAL CLINIC,MC,"62963664","200025",A,"25","01","144",JLN BERSEH,,"CDMP,CHAS",30771.46617105,32060.16810433,5F08C0A0F4C317D8,"20210926121846"
103.953009919289,1.35345315773106,0,kml_1146,19C0264,UNITED MEDICAL PRACTITIONERS,MD,"67832266","522201",A,201B,"01","1065",TAMPINES ST 21,,"CDMP,CHAS,ISP",41320.29635318,37283.81809632,D0BA3F55B5651F13,"20210926121846"
103.828892847597,1.43136934942161,0,kml_1147,"9401824",UNIVERSAL MEDICAL CLINIC,MC,"67589955","760103",A,"103","01","99",YISHUN RING ROAD,,"CDMP,CHAS",27507.48255175,45899.06761083,0CC26575615CF3FB,"20210926121846"
103.953858335358,1.35292162528847,0,kml_1148,"9401825",UNIVERSAL MEDICAL CLINIC,MC,"67858887","527201",A,201E,"01","104",TAMPINES ST 23,,"CDMP,CHAS",41414.71859964,37225.04850788,98352790511D2B39,"20210926121846"
103.838543994101,1.43422889275473,0,kml_1149,"9401827",UNIVERSAL MEDICAL CLINIC,MC,"67589696","760235",A,"235","01","460",YISHUN ST 21,,"CDMP,CHAS",28581.50962775,46215.26170925,8F713AD5F6DF3CDF,"20210926121846"
103.742831711196,1.34771697452787,0,kml_1150,"9401826",UNIVERSAL MEDICAL CLINIC,MD,"65639955","650164",A,"164","01","144",BUKIT BATOK ST 11,,"CDMP,CHAS",17929.8115842,36649.39882697,90BD07AF5B736D44,"20210926121846"
103.931051496618,1.33212313297784,0,kml_1151,"9402635",USRAH MEDICAL CLINIC,MC,"64414139","460510",A,"510","01","25",BEDOK NORTH ST 3,,"CDMP,CHAS,ISP",38876.66317245,34925.14009344,4D8D21176A0EEDE3,"20210926121846"
103.944509227628,1.3461607395066,0,kml_1152,19M0024,United Medical Practitioners,MC,"67812281","521139",A,"139","01","16",TAMPINES STREET 11,,CHAS,40374.30094142,36477.41323777,51650FEBA63400CC,"20210926121846"
103.861851786725,1.30294528655395,0,kml_1153,"9401835",VERNON CLINIC & SURGERY,MC,"62940244","199001",,"100","02",25/26,JALAN SULTAN,SULTAN PLAZA,"CDMP,CHAS,ISP",31175.48648665,31698.60611209,D6257BC3746F7248,"20210926121846"
103.788545950367,1.31010302628844,0,kml_1154,18M0261,VICTORY CLINIC AND SURGERY,MC,"64671641","270021",A,"21","01","205",GHIM MOH ROAD,,"CDMP,CHAS,ISP",23017.2274397,32490.0986615,84770F29F8C9AE62,"20210926121846"
103.785909603082,1.27980322341195,0,kml_1155,"9405517",VISTA MEDICAL CENTRE,MC,"67780822","118136",B,"3","01",30/31,SOUTH BUONA VISTA ROAD,VIVA VISTA,"CDMP,CHAS",22723.76402196,29139.70697086,7D476B6BEAE22157,"20210926121846"
103.813936814037,1.44631506786133,0,kml_1156,19M0023,VITACARE FAMILY CLINIC @ CANBERRA PTE. LTD.,MC,"63666088","750361",A,"361","01","06",SEMBAWANG CRESCENT,,CHAS,25843.11456305,47551.69879536,C1D8AAFFDD79F085,"20210926121846"
103.843423249834,1.33176643075075,0,kml_1157,"9404436",Victor's Family Clinic,MC,"63532885","310168",A,"168","01","1032",LORONG 1 TOA PAYOH,TOA PAYOH GREEN,"CDMP,CHAS",29124.54498111,34885.48449458,849B2B3585358C9C,"20210926121846"
103.79531438351,1.43712301469225,0,kml_1158,"9404867",Victoria Medical House,MC,"63647551","730888",A,"888","02","739",WOODLANDS DRIVE 50,888 PLAZA,"CDMP,CHAS",23770.71393482,46535.3137346,45465B70F3D6100A,"20210926121846"
103.910536918863,1.40053114978911,0,kml_1159,13C0123,Vitacare Family Clinic (Punggol Central),MD,"66360805","824622",A,622D,"01","05",PUNGGOL CENTRAL,,"CDMP,CHAS",36593.35823021,42489.27612206,6F7DBA44E59D24A0,"20210926121846"
103.895387022161,1.40322712503317,0,kml_1160,16M0389,Vitacare Family Clinic@Punggol West Pte Ltd,MC,"65383693","820218",A,"218","01","05",SUMANG WALK,,CHAS,34907.37072878,42787.33352356,CA72F933D750A5AA,"20210926121846"
103.879874611056,1.39158623013568,0,kml_1161,18M0044,Vitacare Family Clinic@Seletar Pte.Ltd.,MC,"63151608","790417",,"417","01","03",FERNVALE LINK,,CHAS,33181.0761404,41500.10176679,8A0DE48471C102B9,"20210926121846"
103.853976743936,1.37262666866782,0,kml_1162,19M0086,Vital-Care Clinic and Surgery Pte Ltd,MC,"62565154","560525",A,"525","01","2399",ANG MO KIO AVENUE 10,CHENG SAN CENTRE,CHAS,30299.00098494,39403.60861049,47EB4CE0C3954461,"20210926121846"
103.952252183693,1.35836068994646,0,kml_1163,"9404205",Viva Medical Clinic,MC,"67828020","521450",A,450A,"01","356",Tampines Street 42,,"CDMP,CHAS",41235.94217641,37826.46499038,5511FB77DA7C4C9C,"20210926121846"
103.94038160042,1.35727594434997,0,kml_1164,15M0033,Viva Medical Group,MC,"66357240","521519",A,519A,"01","08",TAMPINES CENTRAL 8,,"CDMP,CHAS",39914.88649265,37706.45742916,5A649EABE8FB3AC6,"20210926121846"
103.766131294904,1.30369748988215,0,kml_1165,15M0323,Viva Medical Group (Westside),MC,"67779069","127371",,"154","01","81",WEST COAST ROAD,WEST COAST PLAZA,"CDMP,CHAS",20522.66707484,31781.86268096,5837F96B3F780ED5,"20210926121846"
103.816263881646,1.44436832542469,0,kml_1166,19M0093,W Medical,MC,"62731246","750365",A,"365","01","06",SEMBAWANG CRESCENT,,CHAS,26102.0789567,47336.43571009,E21715B45E2AFE55,"20210926121846"
103.872312298307,1.36995099695439,0,kml_1167,"9401850",W P SIM FAMILY CLINIC & SURGERY,MC,"62889924","550153",A,"153","01","548",SERANGOON NORTH AVE 1,,"CDMP,CHAS",32339.52891176,39107.77178934,99C4D760B34D8129,"20210926121846"
103.955111125692,1.35901318154697,0,kml_1168,"9405470",W Y TEH FAMILY CLINIC AND SURGERY,MC,"67836802","520462",A,"462","01","60",TAMPINES STREET 44,,"CDMP,CHAS",41554.10635735,37898.6301593,15FA90B2BD3F831D,"20210926121846"
103.933835585522,1.32325013385157,0,kml_1169,12C0239,W. H. YAK FAMILY CLINIC,MC,"64431561","462025",A,"25","01","644",NEW UPPER CHANGI RD,,"CDMP,CHAS",39186.54373268,33944.02026052,698305347E0E48D1,"20210926121846"
103.855171553982,1.32324727008732,0,kml_1170,"9401856",WEE'S FAMILY CLINIC & SURGERY,MC,"62521231","320088",A,"88","01","865",WHAMPOA DR,,CHAS,30432.01766503,33943.48775588,5FBC7901A8DDBF00,"20210926121846"
103.857024005426,1.37119666410327,0,kml_1171,"9403607",WELL FAMILY CLINIC & SURGERY,MC,"64549519","560555",A,"555","01","1948",ANG MO KIO AVENUE 10,,"CDMP,CHAS,ISP",30638.12553274,39245.48905703,658008D43AD8F118,"20210926121846"
103.936796194489,1.37850572553651,0,kml_1172,"9404371",WELL MEDICAL CLINIC & SURGERY PTE LTD,MC,"65852252","510739",A,"739","01","11",PASIR RIS DRIVE 10,,CHAS,39515.77028658,40053.9249881,274BF230E14BB712,"20210926121846"
103.822534715116,1.45026201893127,0,kml_1173,12C0032,WEN & WENG FAMILY CLINIC,MD,"62571198","750505",A,"505","01","03",CANBERRA LINK,,"CDMP,CHAS",26799.92781272,47988.12649631,3EC1921EAC65A969,"20210926121846"
103.76375957814,1.30291359278879,0,kml_1174,"9405045",WEST COAST CLINIC & SURGERY (CLEMENTI WEST) PTE LTD,MD,"67770183","120722",A,"722","01","162",CLEMENTI WEST ST 2,,"CDMP,CHAS",20258.71412399,31695.1904912,7D9893149543FF1E,"20210926121846"
103.855171553982,1.32324727008732,0,kml_1175,"9401865",WHAMPOA CLINIC,MC,"62521020","320088",A,"88","01","863",WHAMPOA DR,,"CDMP,CHAS",30432.01766503,33943.48775588,5FBC79013DDC5DCE,"20210926121846"
103.820411646878,1.2823935104936,0,kml_1176,18M0119,WHITECOAT MEDICAL,MC,"69096609","159545",B,"201","05",11/12,HENDERSON ROAD,APEX @ HENDERSON,"CDMP,CHAS,ISP",26563.56434091,29426.08244404,76EA717E16B1E93D,"20210926121846"
103.853340215432,1.30621809763649,0,kml_1177,"9401870",WINSTEDT CLINIC,MC,"62922975","207408",B,"51",,,UPPER WELD ROAD,,"CDMP,CHAS,ISP",30228.22314905,32060.4875829,454593E48299225B,"20210926121846"
